ID,participantID,answeredOn,trialStart,trialEnd,trialTime,mode,Condition,DataTypeOrder,ChartType,QuestionType,DataType,questionNumber,overallQuestionNumber,ErrorCount,trial,block
2442,55,2021-07-26 20:09,Mon Jul 26 2021 13:08:16 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:09:00 GMT-0700 (Pacific Daylight Time),44671,study,3,1,chord,B,space,2,7,6,7,1
1177,32,2021-07-26 18:08,Mon Jul 26 2021 13:08:23 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:08:46 GMT-0500 (Central Daylight Time),22624,study,4,2,chord,A,immigration,1,7,0,6,1
1181,32,2021-07-26 18:08,Mon Jul 26 2021 13:08:46 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:08:59 GMT-0500 (Central Daylight Time),13424,study,4,2,chord,A,immigration,2,7,0,7,1
1188,32,2021-07-26 18:09,Mon Jul 26 2021 13:09:00 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:09:23 GMT-0500 (Central Daylight Time),23491,study,4,2,chord,A,immigration,3,7,0,8,1
2444,55,2021-07-26 20:09,Mon Jul 26 2021 13:09:00 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:09:11 GMT-0700 (Pacific Daylight Time),10152,study,3,1,chord,B,space,3,7,1,8,1
2448,55,2021-07-26 20:09,Mon Jul 26 2021 13:09:11 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:09:44 GMT-0700 (Pacific Daylight Time),33372,study,3,1,chord,B,space,4,7,6,9,1
1200,32,2021-07-26 18:10,Mon Jul 26 2021 13:09:23 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:10:01 GMT-0500 (Central Daylight Time),37597,study,4,2,chord,A,immigration,4,7,0,9,1
1195,22,2021-07-26 18:09,Mon Jul 26 2021 13:09:31 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:09:52 GMT-0500 (Central Daylight Time),21349,study,2,0,chord,B,space,3,7,0,13,2
2449,55,2021-07-26 20:10,Mon Jul 26 2021 13:09:44 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:10:28 GMT-0700 (Pacific Daylight Time),43964,study,3,1,chord,B,space,5,7,5,10,1
1215,22,2021-07-26 18:10,Mon Jul 26 2021 13:09:52 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:10:44 GMT-0500 (Central Daylight Time),51823,study,2,0,chord,B,space,4,7,1,14,2
1207,32,2021-07-26 18:10,Mon Jul 26 2021 13:10:01 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:10:25 GMT-0500 (Central Daylight Time),23769,study,4,2,chord,A,immigration,5,7,1,10,1
1211,32,2021-07-26 18:10,Mon Jul 26 2021 13:10:30 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:10:40 GMT-0500 (Central Daylight Time),10453,study,4,2,sankey,B,phone,1,7,0,11,2
2450,55,2021-07-26 20:10,Mon Jul 26 2021 13:10:34 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:10:47 GMT-0700 (Pacific Daylight Time),12753,study,3,1,sankey,A,immigration,1,7,1,11,2
1219,32,2021-07-26 18:10,Mon Jul 26 2021 13:10:40 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:10:56 GMT-0500 (Central Daylight Time),15710,study,4,2,sankey,B,phone,2,7,0,12,2
1220,22,2021-07-26 18:10,Mon Jul 26 2021 13:10:44 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:10:58 GMT-0500 (Central Daylight Time),13670,study,2,0,chord,B,space,5,7,0,15,2
2451,55,2021-07-26 20:10,Mon Jul 26 2021 13:10:47 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:10:59 GMT-0700 (Pacific Daylight Time),11587,study,3,1,sankey,A,immigration,2,7,0,12,2
1224,32,2021-07-26 18:11,Mon Jul 26 2021 13:10:56 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:11:15 GMT-0500 (Central Daylight Time),19368,study,4,2,sankey,B,phone,3,7,0,13,2
2454,55,2021-07-26 20:11,Mon Jul 26 2021 13:10:59 GMT-0700 (Pacific Daylight Time),Mon Jul 26 2021 13:11:06 GMT-0700 (Pacific Daylight Time),7461,study,3,1,sankey,A,immigration,3,7,1,13,2
1232,22,2021-07-26 18:11,Mon Jul 26 2021 13:11:01 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:11:42 GMT-0500 (Central Daylight Time),40534,study,2,0,sankey,A,space,1,7,0,16,2
